iter,firing_rate,mean_abs_dW
0,2.278645894193687e-07,0.34425464272499084
1,0.0,5.35704839421669e-06
2,0.0,5.3519001994573046e-06
3,0.0,5.346438229025807e-06
4,0.0,5.341141331882682e-06
5,0.0,5.3357830438471865e-06
6,0.0,5.3304279390431475e-06
7,0.0,5.325131041900022e-06
8,0.0,5.319882802723441e-06
9,0.0,5.3144240155234e-06
10,0.0,5.309224434313364e-06
11,0.0,5.3038206715427805e-06
12,0.0,5.298569249134744e-06
13,0.0,5.293272351991618e-06
14,0.0,5.2879718168696854e-06
15,0.0,5.28262353327591e-06
16,0.0,5.277417130855611e-06
17,0.0,5.272120233712485e-06
18,0.0,5.2668715397885535e-06
19,0.0,5.261574642645428e-06
20,0.0,5.256277745502302e-06
21,0.0,5.251084530755179e-06
22,0.0,5.2457553465501405e-06
23,0.0,5.240561677055666e-06
24,0.0,5.235365279077087e-06
25,0.0,5.23001654073596e-06
26,0.0,5.224823325988837e-06
27,0.0,5.219526428845711e-06
28,0.0,5.2145137487968896e-06
29,0.0,5.209171831666026e-06
30,0.0,5.204030003369553e-06
31,0.0,5.1987849474244285e-06
32,0.0,5.193591732677305e-06
33,0.0,5.18837214258383e-06
34,0.0,5.183230769034708e-06
35,0.0,5.1779852583422326e-06
36,0.0,5.1727984100580215e-06
37,0.0,5.167682502360549e-06
38,0.0,5.162437446415424e-06
39,0.0,5.157399300514953e-06
40,0.0,5.152186531631742e-06
41,0.0,5.146944658918073e-06
42,0.0,5.141906513017602e-06
43,0.0,5.136635536473477e-06
44,0.0,5.131610123498831e-06
45,0.0,5.126520136400359e-06
46,0.0,5.121352387504885e-06
47,0.0,5.116165539220674e-06
48,0.0,5.111078735353658e-06
49,0.0,5.10602149006445e-06
50,0.0,5.100886028230889e-06
51,0.0,5.095821961731417e-06
52,0.0,5.090586455480661e-06
53,0.0,5.085626071377192e-06
54,0.0,5.080600658402545e-06
55,0.0,5.075410626886878e-06
56,0.0,5.070352926850319e-06
57,0.0,5.065217919764109e-06
58,0.0,5.060215244157007e-06
59,0.0,5.055228484707186e-06
60,0.0,5.05017760588089e-06
61,0.0,5.045038960815873e-06
62,0.0,5.039981715526665e-06
63,0.0,5.0349594857834745e-06
64,0.0,5.029895419284003e-06
65,0.0,5.024941401643446e-06
66,0.0,5.019912805437343e-06
67,0.0,5.014958787796786e-06
68,0.0,5.009936558053596e-06
69,0.0,5.004872491554124e-06
70,0.0,4.999798875360284e-06
71,0.0,4.994793016521726e-06
72,0.0,4.989848548575537e-06
73,0.0,4.984862243873067e-06
74,0.0,4.979917775926879e-06
75,0.0,4.974915100319777e-06
76,0.0,4.9699415285431314e-06
77,0.0,4.964880645275116e-06
78,0.0,4.959932994097471e-06
79,0.0,4.95495623908937e-06
80,0.0,4.950011771143181e-06
81,0.0,4.9450641199655365e-06
82,0.0,4.940139206155436e-06
83,0.0,4.935188371746335e-06
84,0.0,4.9302407205686904e-06
85,0.0,4.925263965560589e-06
86,0.0,4.9203194976144005e-06
87,0.0,4.915530098514864e-06
88,0.0,4.910627922072308e-06
89,0.0,4.90570937472512e-06
90,0.0,4.900868589174934e-06
91,0.0,4.895917754765833e-06
92,0.0,4.890970103588188e-06
93,0.0,4.88607702209265e-06
94,0.0,4.881158474745462e-06
95,0.0,4.876311322732363e-06
96,0.0,4.8714186959841754e-06
97,0.0,4.866629296884639e-06
98,0.0,4.861736670136452e-06
99,0.0,4.856789018958807e-06
100,0.0,4.852058282267535e-06
101,0.0,4.847236596106086e-06
102,0.0,4.842292128159897e-06
103,0.0,4.83739950141171e-06
104,0.0,4.832661943510175e-06
105,0.0,4.827872999157989e-06
106,0.0,4.822979917662451e-06
107,0.0,4.818042270926526e-06
108,0.0,4.813408395420993e-06
109,0.0,4.808515313925454e-06
110,0.0,4.803674528375268e-06
111,0.0,4.798995178134646e-06
112,0.0,4.794102551386459e-06
113,0.0,4.789209924638271e-06
114,0.0,4.784582415595651e-06
115,0.0,4.779692972078919e-06
116,0.0,4.774955414177384e-06
117,0.0,4.770224677486112e-06
118,0.0,4.765332050737925e-06
119,0.0,4.760646334034391e-06
120,0.0,4.755811914947117e-06
121,0.0,4.7510743570455816e-06
122,0.0,4.746346348838415e-06
123,0.0,4.74155740448623e-06
124,0.0,4.7368198465846945e-06
125,0.0,4.732095476356335e-06
126,0.0,4.727516170532908e-06
127,0.0,4.722707672044635e-06
128,0.0,4.718073796539102e-06
129,0.0,4.713239377451828e-06
130,0.0,4.708608685177751e-06
131,0.0,4.703780632553389e-06
132,0.0,4.699101282312768e-06
133,0.0,4.69441874884069e-06
134,0.0,4.689713478001067e-06
135,0.0,4.6849827413097955e-06
136,0.0,4.680358415498631e-06
137,0.0,4.675569016399095e-06
138,0.0,4.670941507356474e-06
139,0.0,4.666401309805224e-06
140,0.0,4.661664206651039e-06
141,0.0,4.657039880839875e-06
142,0.0,4.652315055864165e-06
143,0.0,4.647710284189088e-06
144,0.0,4.643134616344469e-06
145,0.0,4.638309746951563e-06
146,0.0,4.633682237908943e-06
147,0.0,4.629187515092781e-06
148,0.0,4.624508164852159e-06
149,0.0,4.619935680238996e-06
150,0.0,4.615236775862286e-06
151,0.0,4.610561063600471e-06
152,0.0,4.605985395755852e-06
153,0.0,4.601490218192339e-06
154,0.0,4.596872258844087e-06
155,0.0,4.592193363350816e-06
156,0.0,4.587653165799566e-06
157,0.0,4.583077043207595e-06
158,0.0,4.578536845656345e-06
159,0.0,4.573912974592531e-06
160,0.0,4.5692854655499104e-06
161,0.0,4.564842129184399e-06
162,0.0,4.560276011034148e-06
163,0.0,4.55568078905344e-06
164,0.0,4.551056463242276e-06
165,0.0,4.546568106889026e-06
166,0.0,4.541995622275863e-06
167,0.0,4.537426320894156e-06
168,0.0,4.532989350991556e-06
169,0.0,4.528365479927743e-06
170,0.0,4.523773441178491e-06
171,0.0,4.519259164226241e-06
172,0.0,4.514767169894185e-06
173,0.0,4.510201051743934e-06
174,0.0,4.5057126953906845e-06
175,0.0,4.501140210777521e-06
176,0.0,4.496806923270924e-06
177,0.0,4.492318566917675e-06
178,0.0,4.487804289965425e-06
179,0.0,4.483257725951262e-06
180,0.0,4.478746632230468e-06
181,0.0,4.47436150352587e-06
182,0.0,4.46984722657362e-06
183,0.0,4.465410256671021e-06
184,0.0,4.4608573261939455e-06
185,0.0,4.456524038687348e-06
186,0.0,4.452022494660923e-06
187,0.0,4.44757324657985e-06
188,0.0,4.443026227818336e-06
189,0.0,4.438692940311739e-06
190,0.0,4.434191851032665e-06
191,0.0,4.429748514667153e-06
192,0.0,4.425357019499643e-06
193,0.0,4.4208559302205686e-06
194,0.0,4.416415777086513e-06
195,0.0,4.412030648381915e-06
196,0.0,4.407580945553491e-06
197,0.0,4.403306320455158e-06
198,0.0,4.398856617626734e-06
199,0.0,4.39455561718205e-06
200,0.0,4.390079993754625e-06
201,0.0,4.3856175580003764e-06
202,0.0,4.381281087262323e-06
203,0.0,4.376818196760723e-06
204,0.0,4.3726081457862165e-06
205,0.0,4.368171175883617e-06
206,0.0,4.363805601315107e-06
207,0.0,4.3593463487923145e-06
208,0.0,4.355077635409543e-06
209,0.0,4.350712060841033e-06
210,0.0,4.3463533074827865e-06
211,0.0,4.342016836744733e-06
212,0.0,4.3376057874411345e-06
213,0.0,4.333382548793452e-06
214,0.0,4.328923296270659e-06
215,0.0,4.3246350287518e-06
216,0.0,4.32044407716603e-06
217,0.0,4.316062586440239e-06
218,0.0,4.311709744797554e-06
219,0.0,4.307266863179393e-06
220,0.0,4.303065907151904e-06
221,0.0,4.298797648516484e-06
222,0.0,4.2943961489072535e-06
223,0.0,4.290172910259571e-06
224,0.0,4.285894647182431e-06
225,0.0,4.281703695596661e-06
226,0.0,4.277312200429151e-06
227,0.0,4.272988917364273e-06
228,0.0,4.268842985766241e-06
229,0.0,4.264519702701364e-06
230,0.0,4.260140940459678e-06
231,0.0,4.255953626852715e-06
232,0.0,4.251678547007032e-06
233,0.0,4.247555352776544e-06
234,0.0,4.243238436174579e-06
235,0.0,4.238963356328895e-06
236,0.0,4.234717380313668e-06
237,0.0,4.230500508128898e-06
238,0.0,4.226293185638497e-06
239,0.0,4.2221281546517275e-06
240,0.0,4.217856712784851e-06
241,0.0,4.213688043819275e-06
242,0.0,4.2094711716345046e-06
243,0.0,4.205251116218278e-06
244,0.0,4.201024694339139e-06
245,0.0,4.196749614493456e-06
246,0.0,4.192536380287493e-06
247,0.0,4.1884195525199175e-06
248,0.0,4.184099452686496e-06
249,0.0,4.179995812592097e-06
250,0.0,4.175730282440782e-06
251,0.0,4.171639830019558e-06
252,0.0,4.1674875319586135e-06
253,0.0,4.1632738430052996e-06
254,0.0,4.1592088564357255e-06
255,0.0,4.155060196353588e-06
256,0.0,4.150840140937362e-06
257,0.0,4.146675109950593e-06
258,0.0,4.142584202782018e-06
259,0.0,4.138441909162793e-06
260,0.0,4.134241407882655e-06
261,0.0,4.13012458011508e-06
262,0.0,4.125975920032943e-06
263,0.0,4.121839538129279e-06
264,0.0,4.117842763662338e-06
265,0.0,4.113629074709024e-06
266,0.0,4.109532255824888e-06
267,0.0,4.105395873921225e-06
268,0.0,4.101299055037089e-06
269,0.0,4.097253622603603e-06
270,0.0,4.0931690818979405e-06
271,0.0,4.089026788278716e-06
272,0.0,4.084961801709142e-06
273,0.0,4.080787221028004e-06
274,0.0,4.076799996255431e-06
275,0.0,4.072664069099119e-06
276,0.0,4.0685604290047195e-06
277,0.0,4.0645991248311475e-06
278,0.0,4.060488663526485e-06
279,0.0,4.056417765241349e-06
280,0.0,4.0523786992707755e-06
281,0.0,4.048307346238289e-06
282,0.0,4.044210072606802e-06
283,0.0,4.040281055495143e-06
284,0.0,4.036193786305375e-06
285,0.0,4.032122433272889e-06
286,0.0,4.028206149087055e-06
287,0.0,4.02406385546783e-06
288,0.0,4.0200961848313455e-06
289,0.0,4.016043931187596e-06
290,0.0,4.01197257815511e-06
291,0.0,4.008014457212994e-06
292,0.0,4.004053153039422e-06
293,0.0,4.000007720605936e-06
294,0.0,3.995943188783713e-06
295,0.0,3.9920269045978785e-06
296,0.0,3.988016942457762e-06
297,0.0,3.984075192420278e-06
298,0.0,3.980010205850704e-06
299,0.0,3.976100742875133e-06
300,0.0,3.9720844142721035e-06
301,0.0,3.9681749512965325e-06
302,0.0,3.964084044127958e-06
303,0.0,3.960184130846756e-06
304,0.0,3.956274667871185e-06
305,0.0,3.952261522499612e-06
306,0.0,3.948297035094583e-06
307,0.0,3.9443352761736605e-06
308,0.0,3.940380793210352e-06
309,0.0,3.936577741114888e-06
310,0.0,3.932570962206228e-06
311,0.0,3.928612841264112e-06
312,0.0,3.924755219486542e-06
313,0.0,3.920690232916968e-06
314,0.0,3.916842160833767e-06
315,0.0,3.912990450771758e-06
316,0.0,3.908980943378992e-06
317,0.0,3.9050710256560706e-06
318,0.0,3.901229320035782e-06
319,0.0,3.897319857060211e-06
320,0.0,3.89337446904392e-06
321,0.0,3.889465006068349e-06
322,0.0,3.885687874571886e-06
323,0.0,3.881746124534402e-06
324,0.0,3.877788003592286e-06
325,0.0,3.8739817682653666e-06
326,0.0,3.870088221447077e-06
327,0.0,3.86626288673142e-06
328,0.0,3.862421181111131e-06
329,0.0,3.858411218971014e-06
330,0.0,3.8546245377801824e-06
331,0.0,3.850744178635068e-06
332,0.0,3.846950676233973e-06
333,0.0,3.843102604150772e-06
334,0.0,3.839338660327485e-06
335,0.0,3.83539645554265e-06
336,0.0,3.8315938581945375e-06
337,0.0,3.827778073173249e-06
338,0.0,3.8238231354625896e-06
339,0.0,3.820032816292951e-06
340,0.0,3.816223852481926e-06
341,0.0,3.8124208003864624e-06
342,0.0,3.8086081985966302e-06
343,0.0,3.8047664929763414e-06
344,0.0,3.8009959553164663e-06
345,0.0,3.7971508390910458e-06
346,0.0,3.7933998555672588e-06
347,0.0,3.7896097637712955e-06
348,0.0,3.7858392261114204e-06
349,0.0,3.7819975204911316e-06
350,0.0,3.7782367598993005e-06
351,0.0,3.7744466681033373e-06
352,0.0,3.7707861793023767e-06
353,0.0,3.766970166907413e-06
354,0.0,3.7631866689480375e-06
355,0.0,3.7594227251247503e-06
356,0.0,3.7556683309958316e-06
357,0.0,3.7518848330364563e-06
358,0.0,3.7481725030374946e-06
359,0.0,3.7444146983034443e-06
360,0.0,3.7406182400445687e-06
361,0.0,3.736912503882195e-06
362,0.0,3.73315492652182e-06
363,0.0,3.7294230423867702e-06
364,0.0,3.7256654650263954e-06
365,0.0,3.7219078876660205e-06
366,0.0,3.718357220350299e-06
367,0.0,3.7145994156162487e-06
368,0.0,3.710822511493461e-06
369,0.0,3.7070583402964985e-06
370,0.0,3.7033653370599495e-06
371,0.0,3.699769422382815e-06
372,0.0,3.69601184502244e-06
373,0.0,3.6923577226843918e-06
374,0.0,3.6887036003463436e-06
375,0.0,3.6849976368102944e-06
376,0.0,3.681246425912832e-06
377,0.0,3.6774629279534565e-06
378,0.0,3.6739770621352363e-06
379,0.0,3.6702194847748615e-06
380,0.0,3.6665198877017247e-06
381,0.0,3.6628657653636765e-06
382,0.0,3.6591695788956713e-06
383,0.0,3.65563187187945e-06
384,0.0,3.651874294519075e-06
385,0.0,3.64825245924294e-06
386,0.0,3.6446629110287176e-06
387,0.0,3.6409635413292563e-06
388,0.0,3.637416057244991e-06
389,0.0,3.6337166875455296e-06
390,0.0,3.6300302781455684e-06
391,0.0,3.6264214031689335e-06
392,0.0,3.622786607593298e-06
393,0.0,3.6192134302837076e-06
394,0.0,3.6155138332105707e-06
395,0.0,3.6119827200309373e-06
396,0.0,3.608276756494888e-06
397,0.0,3.604748826546711e-06
398,0.0,3.6010751500725746e-06
399,0.0,3.5975438095192658e-06
400,0.0,3.5938930977863492e-06
401,0.0,3.590296955735539e-06
402,0.0,3.586688080758904e-06
403,0.0,3.583150373742683e-06
404,0.0,3.5796094834950054e-06
405,0.0,3.5759487673203694e-06
406,0.0,3.572459718270693e-06
407,0.0,3.5687730814970564e-06
408,0.0,3.5652483347803354e-06
409,0.0,3.5617204048321582e-06
410,0.0,3.5581178963184357e-06
411,0.0,3.5546254366636276e-06
412,0.0,3.5510456655174494e-06
413,0.0,3.547423830241314e-06
414,0.0,3.54394114765455e-06
415,0.0,3.540435727700242e-06
416,0.0,3.5367913824302377e-06
417,0.0,3.533337576300255e-06
418,0.0,3.5298678540129913e-06
419,0.0,3.5262589790363563e-06
420,0.0,3.522666247590678e-06
421,0.0,3.5192126688343706e-06
422,0.0,3.515684511512518e-06
423,0.0,3.512127477733884e-06
424,0.0,3.5086834486719454e-06
425,0.0,3.5051909890171373e-06
426,0.0,3.5016305446333718e-06
427,0.0,3.4980475902557373e-06
428,0.0,3.4946035611937987e-06
429,0.0,3.4911531656689476e-06
430,0.0,3.4876802601502277e-06
431,0.0,3.4842169043258764e-06
432,0.0,3.480614395812154e-06
433,0.0,3.4771640002873028e-06
434,0.0,3.473687684163451e-06
435,0.0,3.470234105407144e-06
436,0.0,3.4667900763452053e-06
437,0.0,3.463336497588898e-06
438,0.0,3.4598601814650465e-06
439,0.0,3.456467993601109e-06
440,0.0,3.452914143053931e-06
441,0.0,3.4494603369239485e-06
442,0.0,3.4460229016985977e-06
443,0.0,3.442598426772747e-06
444,0.0,3.4391512144793523e-06
445,0.0,3.4357008189545013e-06
446,0.0,3.432302037253976e-06
447,0.0,3.4288709684915375e-06
448,0.0,3.4254237561981427e-06
449,0.0,3.422031568334205e-06
450,0.0,3.418581172809354e-06
451,0.0,3.4151889849454165e-06
452,0.0,3.411735406189109e-06
453,0.0,3.4082913771271706e-06
454,0.0,3.4049121495627332e-06
455,0.0,3.401513367862208e-06
456,0.0,3.398075932636857e-06
457,0.0,3.394677378310007e-06
458,0.0,3.3912431263161125e-06
459,0.0,3.387896185813588e-06
460,0.0,3.384510364412563e-06
461,0.0,3.3811634239100385e-06
462,0.0,3.3777841963456012e-06
463,0.0,3.3743920084816637e-06
464,0.0,3.3710514344420517e-06
465,0.0,3.3676722068776144e-06
466,0.0,3.3642281778156757e-06
467,0.0,3.3608587273192825e-06
468,0.0,3.3574792723811697e-06
469,0.0,3.35424238073756e-06
470,0.0,3.350847009642166e-06
471,0.0,3.347419124111184e-06
472,0.0,3.3441563118685735e-06
473,0.0,3.3407284263375914e-06
474,0.0,3.3374883514625253e-06
475,0.0,3.334112307129544e-06
476,0.0,3.3307976536889328e-06
477,0.0,3.3274216093559517e-06
478,0.0,3.32418130710721e-06
479,0.0,3.3208343666046858e-06
480,0.0,3.317438995509292e-06
481,0.0,3.3141145650006365e-06
482,0.0,3.3109067771874834e-06
483,0.0,3.3075307328545023e-06
484,0.0,3.3041901588148903e-06
485,0.0,3.3009953313012375e-06
486,0.0,3.2976031434373e-06
487,0.0,3.2942787129286444e-06
488,0.0,3.2910288609855343e-06
489,0.0,3.2877433113753796e-06
490,0.0,3.2844482120708562e-06
491,0.0,3.2812240533530712e-06
492,0.0,3.2779159937490476e-06
493,0.0,3.274591563240392e-06
494,0.0,3.2714451663196087e-06
495,0.0,3.268007731094258e-06
496,0.0,3.264754468546016e-06
497,0.0,3.261540086896275e-06
498,0.0,3.258244987591752e-06
499,0.0,3.2550046853430104e-06
500,0.0,3.2517611998628126e-06
501,0.0,3.2486245800100733e-06
502,0.0,3.245196694479091e-06
503,0.0,3.2420373372588074e-06
504,0.0,3.2387163173552835e-06
505,0.0,3.235476015106542e-06
506,0.0,3.2323362120223464e-06
507,0.0,3.2289535738527775e-06
508,0.0,3.2258135433949064e-06
509,0.0,3.22256050822034e-06
510,0.0,3.219342943339143e-06
511,0.0,3.216196319044684e-06
512,0.0,3.212956244169618e-06
513,0.0,3.209764372513746e-06
514,0.0,3.206443352610222e-06
515,0.0,3.203355163350352e-06
516,0.0,3.2001116778701544e-06
517,0.0,3.196965280949371e-06
518,0.0,3.1936474442773033e-06
519,0.0,3.1905074138194323e-06
520,0.0,3.187318952768692e-06
521,0.0,3.184182105542277e-06
522,0.0,3.1809904612600803e-06
523,0.0,3.17780200020934e-06
524,0.0,3.1745844353281427e-06
525,0.0,3.171447588101728e-06
526,0.0,3.1682559438195312e-06
527,0.0,3.165060888932203e-06
528,0.0,3.161972699672333e-06
529,0.0,3.1587971989210928e-06
530,0.0,3.1555568966723513e-06
531,0.0,3.1524718906439375e-06
532,0.0,3.149280246361741e-06
533,0.0,3.146143399135326e-06
534,0.0,3.1429517548531294e-06
535,0.0,3.139869932056172e-06
536,0.0,3.1366912480734754e-06
537,0.0,3.1336578558693873e-06
538,0.0,3.130469394818647e-06
539,0.0,3.1273327749659074e-06
540,0.0,3.124212071270449e-06
541,0.0,3.121078634649166e-06
542,0.0,3.117941787422751e-06
543,0.0,3.1148019843385555e-06
544,0.0,3.111681280643097e-06
545,0.0,3.1085946829989552e-06
546,0.0,3.105485347987269e-06
547,0.0,3.102360096818302e-06
548,0.0,3.0992782740213443e-06
549,0.0,3.0961916763772024e-06
550,0.0,3.0930241337046027e-06
551,0.0,3.08999096887419e-06
552,0.0,3.086933475060505e-06
553,0.0,3.083859610342188e-06
554,0.0,3.0807261737209046e-06
555,0.0,3.07760728901485e-06
556,0.0,3.0746030006412184e-06
557,0.0,3.0714809327037074e-06
558,0.0,3.068445948883891e-06
559,0.0,3.065428927584435e-06
560,0.0,3.0622711619798793e-06
561,0.0,3.0591893391829217e-06
562,0.0,3.0561707262677373e-06
563,0.0,3.053124373764149e-06
564,0.0,3.050047553188051e-06
565,0.0,3.0470303045149194e-06
566,0.0,3.0439227884926368e-06
567,0.0,3.0409589726332342e-06
568,0.0,3.037903070435277e-06
569,0.0,3.034884457520093e-06
570,0.0,3.0317507935251342e-06
571,0.0,3.028766059287591e-06
572,0.0,3.0257442631409504e-06
573,0.0,3.0226947274059057e-06
574,0.0,3.019729319930775e-06
575,0.0,3.0166847864165902e-06
576,0.0,3.013661171280546e-06
577,0.0,3.0106700705800904e-06
578,0.0,3.0076528219069587e-06
579,0.0,3.0046019219298614e-06
580,0.0,3.0016365144547308e-06
581,0.0,2.9985999390191864e-06
582,0.0,2.9956734124425566e-06
583,0.0,2.992682311742101e-06
584,0.0,2.989619815707556e-06
585,0.0,2.986680328831426e-06
586,0.0,2.983681042678654e-06
587,0.0,2.980664021379198e-06
588,0.0,2.9776792871416546e-06
589,0.0,2.974713879666524e-06
590,0.0,2.9717291454289807e-06
591,0.0,2.9687896585528506e-06
592,0.0,2.9658178846148076e-06
593,0.0,2.9628783977386774e-06
594,0.0,2.9598968467325903e-06
595,0.0,2.9569314392574597e-06
596,0.0,2.9539467050199164e-06
597,0.0,2.9510135846066987e-06
598,0.0,2.948024075521971e-06
599,0.0,2.94512005893921e-06
600,0.0,2.94218057206308e-06
601,0.0,2.9391828775260365e-06
602,0.0,2.9362984150793636e-06
603,0.0,2.933339601440821e-06
604,0.0,2.930403297796147e-06
605,0.0,2.9274717689986574e-06
606,0.0,2.924538875959115e-06
607,0.0,2.9216544135124423e-06
608,0.0,2.9187731342972256e-06
609,0.0,2.91576407107641e-06
610,0.0,2.912827767431736e-06
611,0.0,2.9099983294145204e-06
612,0.0,2.907078169300803e-06
613,0.0,2.904146867876989e-06
614,0.0,2.9012621780566406e-06
615,0.0,2.8983859010622837e-06
616,0.0,2.8953977562196087e-06
617,0.0,2.8925198876095237e-06
618,0.0,2.8896886306029046e-06
619,0.0,2.8867589207948186e-06
620,0.0,2.883876049963874e-06
621,0.0,2.8810109142796136e-06
622,0.0,2.8781262244592654e-06
623,0.0,2.8752499474649085e-06
624,0.0,2.8723654850182356e-06
625,0.0,2.8694889806502033e-06
626,0.0,2.8666772777796723e-06
627,0.0,2.863792587959324e-06
628,0.0,2.8609679247892927e-06
629,0.0,2.8580350317497505e-06
630,0.0,2.855219918274088e-06
631,0.0,2.852342049664003e-06
632,0.0,2.84951397588884e-06
633,0.0,2.846637698894483e-06
634,0.0,2.843846914402093e-06
635,0.0,2.8409704100340605e-06
636,0.0,2.838142563632573e-06
637,0.0,2.8353290417726384e-06
638,0.0,2.8323977403488243e-06
639,0.0,2.829573077178793e-06
640,0.0,2.8267354537092615e-06
641,0.0,2.8239057883183705e-06
642,0.0,2.8210295113240136e-06
643,0.0,2.8182178084534826e-06
644,0.0,2.815444759107777e-06
645,0.0,2.812655566231115e-06
646,0.0,2.8098293114453554e-06
647,0.0,2.8070176085748244e-06
648,0.0,2.8041670248057926e-06
649,0.0,2.8014069357595872e-06
650,0.0,2.798582272589556e-06
651,0.0,2.7957576094195247e-06
652,0.0,2.792971827147994e-06
653,0.0,2.7902506190002896e-06
654,0.0,2.787438688756083e-06
655,0.0,2.7846399461850524e-06
656,0.0,2.781879857138847e-06
657,0.0,2.7790940748673165e-06
658,0.0,2.776321025521611e-06
659,0.0,2.773512505882536e-06
660,0.0,2.7707656045095064e-06
661,0.0,2.7679570848704316e-06
662,0.0,2.7651581149257254e-06
663,0.0,2.762449867077521e-06
664,0.0,2.759715698630316e-06
665,0.0,2.756942876658286e-06
666,0.0,2.7541375402506674e-06
667,0.0,2.7514552130014636e-06
668,0.0,2.748683755271486e-06
669,0.0,2.745949586824281e-06
670,0.0,2.743170171015663e-06
671,0.0,2.740397349043633e-06
672,0.0,2.737611339398427e-06
673,0.0,2.734959707595408e-06
674,0.0,2.7322159894538345e-06
675,0.0,2.7294590836390853e-06
676,0.0,2.7267265068076085e-06
677,0.0,2.7239698283665348e-06
678,0.0,2.721277724049287e-06
679,0.0,2.718543555602082e-06
680,0.0,2.7158432658325182e-06
681,0.0,2.7131609385833144e-06
682,0.0,2.710486569412751e-06
683,0.0,2.7077653612650465e-06
684,0.0,2.7049859454564285e-06
685,0.0,2.7023052098229527e-06
686,0.0,2.6996001452062046e-06
687,0.0,2.696922592804185e-06
688,0.0,2.694191834962112e-06
689,0.0,2.6914754016615916e-06
690,0.0,2.688796257643844e-06
691,0.0,2.6861218884732807e-06
692,0.0,2.6834943582798587e-06
693,0.0,2.680739271454513e-06
694,0.0,2.6781151518662227e-06
695,0.0,2.675382575034746e-06
696,0.0,2.6728100692707812e-06
697,0.0,2.670006551852566e-06
698,0.0,2.6673806132748723e-06
699,0.0,2.664675548658124e-06
700,0.0,2.662023916855105e-06
701,0.0,2.6593738766678143e-06
702,0.0,2.656699507497251e-06
703,0.0,2.6540737962932326e-06
704,0.0,2.6513687316764845e-06
705,0.0,2.6487462037039222e-06
706,0.0,2.646149368956685e-06
707,0.0,2.643497737153666e-06
708,0.0,2.6408736175653758e-06
709,0.0,2.638225168993813e-06
710,0.0,2.6355767204222502e-06
